Наименование вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Ссылка на вакансию
"Data Science/Data Analyst/Data Engineer",150000.0,430000.0,руб.,https://hh.ru/vacancy/48485592
"Senior Python Developer",None,None,None,https://hh.ru/vacancy/46298925
"Методист по Python",None,None,None,https://hh.ru/vacancy/48236000
"Middle/Senior Data Scientist (Recommender Systems)",220000.0,300000.0,руб.,https://hh.ru/vacancy/46476387
"Data Scientist",100000.0,None,руб.,https://hh.ru/vacancy/47771100
"Senior data scientist",None,None,None,https://hh.ru/vacancy/48127855
"Data Scientist",100000.0,None,руб.,https://hh.ru/vacancy/48118086
"Ведущий специалист по мониторингу интернет-ресурсов со знанием Python",50000.0,None,руб.,https://hh.ru/vacancy/48488258
"Разработчик SQL/C#/JavaScript (дистанционный формат)",None,150000.0,руб.,https://hh.ru/vacancy/47737966
"Специалист Data Science",100000.0,200000.0,руб.,https://hh.ru/vacancy/46857375
"Junior Data Engineer",None,None,None,https://hh.ru/vacancy/48371178
"Machine Learning Engineer (Remote/ relocate to Riga)",6000.0,8000.0,USD,https://hh.ru/vacancy/48551599
"Ведущий разработчик (Full stack, Team lead)",400000.0,None,руб.,https://hh.ru/vacancy/47640922
"Data scientist",None,None,None,https://hh.ru/vacancy/47936808
"Ведущий разработчик back-end / разработчик (Python)",None,None,None,https://hh.ru/vacancy/48405626
"Python Full Stack Developer (FrontEnd)",200000.0,350000.0,руб.,https://hh.ru/vacancy/48571444
"Python разработчик (Junior+/Middle)",None,None,None,https://hh.ru/vacancy/46889685
"DevOps Engineer",250000.0,None,руб.,https://hh.ru/vacancy/48220829
"QA automation engineer (Python)",None,None,None,https://hh.ru/vacancy/47935959
"Преподаватель на курс "Основы Django Framework" (Python Django developer)",None,None,None,https://hh.ru/vacancy/48581593
"Middle Python Developer (Cybersecurity, SOC)",None,None,None,https://hh.ru/vacancy/47453852
"Automation QA (Python)",None,None,None,https://hh.ru/vacancy/29323728
"DevOps инженер",None,400000.0,руб.,https://hh.ru/vacancy/48259521
"Python/Go Developer (Central Services)",None,None,None,https://hh.ru/vacancy/44686561
"Инженер по автоматизации тестирования (Python)",None,None,None,https://hh.ru/vacancy/46351768
"Team Lead Python",None,None,None,https://hh.ru/vacancy/46598477
"Middle/Senior Python-разработчик в SberDevices (направление SmartApp)",None,None,None,https://hh.ru/vacancy/41096400
"Преподаватель Big data, Hadoop, SQL, Java",None,200000.0,руб.,https://hh.ru/vacancy/47989913
"Аналитик данных / Data scientist",None,None,None,https://hh.ru/vacancy/46639991
"Data Analyst",200000.0,None,руб.,https://hh.ru/vacancy/46956576
"Senior backend Engineer Python(asyncio)/Go",200000.0,300000.0,руб.,https://hh.ru/vacancy/48472121
"Data Engineer (Python/Java)",None,None,None,https://hh.ru/vacancy/41763219
"Аналитик данных (SQL, Python) в команду развития технологий контактного центра",None,None,None,https://hh.ru/vacancy/48538991
"Data Scientist  / Разработчик математических алгоритмов и методик диагностирования",None,None,None,https://hh.ru/vacancy/48435453
"Senior Developer ( Python ) – разработчик",None,None,None,https://hh.ru/vacancy/46865384
"Junior Data-аналитик / Аналитик данных / Data Analyst",None,None,None,https://hh.ru/vacancy/48236458
"Python разработчик в SberDevices (команда Intelligent Search)",None,None,None,https://hh.ru/vacancy/43201449
"Разработчик ETL/data engineer",150000.0,None,руб.,https://hh.ru/vacancy/48265757
"BI Engineer (Tableau)",250000.0,None,руб.,https://hh.ru/vacancy/47882723
"Go (GoLang) Developer",1500.0,4000.0,USD,https://hh.ru/vacancy/47855852
"Senior QA Engineer (Automation)",200000.0,300000.0,руб.,https://hh.ru/vacancy/45562054
"Инженер по автоматизации тестирования (Python)",70000.0,150000.0,руб.,https://hh.ru/vacancy/48536422
"Python-разработчик в SberDevices (core-навык голосового ассистента)",None,None,None,https://hh.ru/vacancy/46257924
"Data science (Big Data аналитик)",None,None,None,https://hh.ru/vacancy/48585168
"Data Scientist",None,None,None,https://hh.ru/vacancy/48500730
"QA Еngineer (Automation)",None,200000.0,руб.,https://hh.ru/vacancy/48169559
"Backend-разработчик (Go, Golang)",160000.0,None,руб.,https://hh.ru/vacancy/48099133
"TeamLead Python-разработчик в SberDevices (направление SmartApp)",None,None,None,https://hh.ru/vacancy/41058653
"Программист встроенных систем Linux",250000.0,350000.0,руб.,https://hh.ru/vacancy/48118337
"Аналитик - разработчик по анонимизации данных (Data Masking)",120000.0,None,руб.,https://hh.ru/vacancy/47971135
"Математик/ Специалист по математическому моделированию/ Инженер-математик",90000.0,120000.0,руб.,https://hh.ru/vacancy/48539147
"Back-end Developer (Node/Java/Python)",None,None,None,https://hh.ru/vacancy/46222999
"Senior QA Automation (Web) Engineer",3500.0,4500.0,USD,https://hh.ru/vacancy/48432880
"Data engineer",None,None,None,https://hh.ru/vacancy/46440789
"Backend разработчик",160000.0,None,руб.,https://hh.ru/vacancy/47309006
"Senior Data Scientist",None,None,None,https://hh.ru/vacancy/48136307
"Data Scientist",None,None,None,https://hh.ru/vacancy/48594604
"Data Scientist",None,None,None,https://hh.ru/vacancy/45920692
"Senior Python разработчик в SberDevices (команда SmartMarket/Brain)",None,None,None,https://hh.ru/vacancy/42667366
"Разработчик C++ в команду видео-инфраструктуры (backend)",150000.0,None,руб.,https://hh.ru/vacancy/48099156
"DevOps-инженер (Junior)",None,150000.0,руб.,https://hh.ru/vacancy/47954998
"Программист встроенных систем Linux",250000.0,350000.0,руб.,https://hh.ru/vacancy/48118337
"Ведущий ИТ-инженер (Python, Go)",None,None,None,https://hh.ru/vacancy/48538328
"Аналитик Данных/ Data Analyst",None,None,None,https://hh.ru/vacancy/45646104
"Data Scientist (СМБ/КИБ)",None,None,None,https://hh.ru/vacancy/48494343
"Аналитик данных (Data Engineer)",None,None,None,https://hh.ru/vacancy/48562153
"Разработчик сетевого программного обеспечения (удаленно)",None,300000.0,руб.,https://hh.ru/vacancy/44789573
"Аналитик данных/ Data Analyst (DWH / DataLake)",None,None,None,https://hh.ru/vacancy/47517285
"QA Еngineer (Automation)",None,200000.0,руб.,https://hh.ru/vacancy/48169559
"Data Engineer",None,None,None,https://hh.ru/vacancy/48083116
"Аналитик данных",150000.0,None,руб.,https://hh.ru/vacancy/48277000
"Data Engineer (Data Platform)",None,None,None,https://hh.ru/vacancy/48347158
"Big Data Developer",None,None,None,https://hh.ru/vacancy/47937531
"Data Engineer",None,None,None,https://hh.ru/vacancy/45245820
"DevOps engineer",5000.0,None,USD,https://hh.ru/vacancy/47175180
"Data Engineer (удаленно)",None,None,None,https://hh.ru/vacancy/48494785
"Data Аналитик",200000.0,None,руб.,https://hh.ru/vacancy/47671773
"Data Scientist/Data Analyst",None,None,None,https://hh.ru/vacancy/47586416
"Эксперт (Data analyst/data engineer)",None,None,None,https://hh.ru/vacancy/43840347
"Разработчик БД",160000.0,None,руб.,https://hh.ru/vacancy/48535086
"Senior data engineer",None,None,None,https://hh.ru/vacancy/47803313
"Backend-разработчик в Evrone (Ruby)",None,340000.0,руб.,https://hh.ru/vacancy/48467436
"Ведущий аналитик Data Scientist",None,None,None,https://hh.ru/vacancy/48502952
"Разработчик\ Data Engineer (SQL\Oracle)",None,None,None,https://hh.ru/vacancy/47851688
"DevOps-инженер",90000.0,120000.0,руб.,https://hh.ru/vacancy/48452071
"Data Analyst",None,None,None,https://hh.ru/vacancy/46044958
"DevOps-инженер (Remote)",None,250000.0,руб.,https://hh.ru/vacancy/48421105
"Data Engineer",None,None,None,https://hh.ru/vacancy/47101277
"Тестировщик ПО / QA Engineer",None,None,None,https://hh.ru/vacancy/48555187
"Machine Learning Engineer",None,None,None,https://hh.ru/vacancy/45600763
"Разработчик Power BI",None,None,None,https://hh.ru/vacancy/48457103
"Senior Research Engineer",230000.0,300000.0,руб.,https://hh.ru/vacancy/46571658
"Аналитик данных / Data analyst",None,None,None,https://hh.ru/vacancy/48594399
"Machine Learning Engineer",None,None,None,https://hh.ru/vacancy/46999042
"Devops инженер / Junior Devops",70000.0,150000.0,руб.,https://hh.ru/vacancy/48563116
"DevOps инженер",None,None,None,https://hh.ru/vacancy/48190039
"Аналитик по машинному обучению",80000.0,None,руб.,https://hh.ru/vacancy/47383305
"Junior Data Engineer (GameDev)",80000.0,None,руб.,https://hh.ru/vacancy/48060723
"Разработчик решений Big Data",None,None,None,https://hh.ru/vacancy/48342007
"Back-end разработчик (продукты семейства IBM Tivoli)",None,None,None,https://hh.ru/vacancy/48283372
"Data Engineer",None,None,None,https://hh.ru/vacancy/48500744
"Инженер данных/Разработчик ETL",None,None,None,https://hh.ru/vacancy/47172435
"Senior Аналитик данных / Продуктовый аналитик (IT продукт)",190000.0,300000.0,руб.,https://hh.ru/vacancy/47456048
"Middle Machine Learning Engineer",None,None,None,https://hh.ru/vacancy/44691367
"Аналитик данных/ Data Analyst (DWH / DataLake)",None,None,None,https://hh.ru/vacancy/47517285
"Инженер по автоматизации тестирования/QA Automation Engineer",200000.0,None,руб.,https://hh.ru/vacancy/46956583
"Backend разработчик (ведущий инженер-программист)",None,None,None,https://hh.ru/vacancy/48496004
"Data Engineer Middle",120000.0,160000.0,руб.,https://hh.ru/vacancy/46823836
"Senior Data Engineer/DWH",None,None,None,https://hh.ru/vacancy/47859001
"DevOps / Системный администратор",None,250000.0,руб.,https://hh.ru/vacancy/48338721
"DevOps инженер",None,None,None,https://hh.ru/vacancy/48578986
"Разработчик BI/Аналитик BI",170000.0,250000.0,руб.,https://hh.ru/vacancy/48433570
"Machine Learning Engineer",None,None,None,https://hh.ru/vacancy/46999042
"Разработчик баз данных PostgreSQL",None,None,None,https://hh.ru/vacancy/48019903
"Senior/Middle Django разработчик (удаленно)  (ИТ-разработка и консалтинг для крупного бизнеса)",120000.0,250000.0,руб.,https://hh.ru/vacancy/48256381
"Data Engineer (Market Data Platform)",3500.0,None,EUR,https://hh.ru/vacancy/48545383
